char	iwp	n_word	n_char
冖	1.000000	410	410
冘	1.000000	417	417
冝	1.000000	294	294
冞	1.000000	418	418
冟	1.000000	300	300
冡	1.000000	314	314
冣	1.000000	386	386
冦	1.000000	395	395
冨	1.000000	607	607
冩	1.000000	584	584
冫	1.000000	476	476
冭	1.000000	623	623
冱	1.000000	412	412
决	1.000000	100	100
冴	1.000000	465	465
况	1.000000	600	600
冸	1.000000	274	274
冹	1.000000	322	322
冺	1.000000	298	298
冾	1.000000	376	376
冿	1.000000	395	395
凁	1.000000	187	187
凂	1.000000	334	334
凃	1.000000	470	470
凅	1.000000	2	2
凈	1.000000	1690	1690
凉	1.000000	100	100
凎	1.000000	273	273
减	1.000000	80	80
凐	1.000000	303	303
凑	1.000000	90	90
凒	1.000000	240	240
凓	1.000000	272	272
凔	1.000000	325	325
凕	1.000000	315	315
凖	1.000000	470	470
凗	1.000000	317	317
凘	1.000000	415	415
凚	1.000000	319	319
凛	1.000000	80	80
凞	1.000000	361	361
凟	1.000000	260	260
凢	1.000000	457	457
凣	1.000000	476	476
凥	1.000000	267	267
処	1.000000	612	612
凧	1.000000	401	401
凨	1.000000	445	445
凩	1.000000	283	283
凪	1.000000	517	517
凬	1.000000	352	352
凭	1.000000	500	500
凮	1.000000	422	422
凲	1.000000	269	269
凴	1.000000	479	479
凵	1.000000	534	534
凷	1.000000	323	323
凾	1.000000	313	313
刂	1.000000	724	724
刄	1.000000	441	441
刅	1.000000	417	417
刉	1.000000	218	218
刋	1.000000	379	379
刌	1.000000	268	268
刏	1.000000	228	228
刐	1.000000	270	270
刓	1.000000	345	345
刔	1.000000	284	284
刕	1.000000	343	343
刜	1.000000	253	253
刞	1.000000	229	229
刟	1.000000	188	188
删	1.000000	100	100
刡	1.000000	236	236
刢	1.000000	267	267
刣	1.000000	263	263
刦	1.000000	266	266
刧	1.000000	342	342
刯	1.000000	220	220
刱	1.000000	242	242
刲	1.000000	348	348
刳	1.000000	478	478
刴	1.000000	295	295
刵	1.000000	294	294
刹	1.000000	622	622
刼	1.000000	334	334
剅	1.000000	389	389
剆	1.000000	225	225
剈	1.000000	192	192
剉	1.000000	6	6
剏	1.000000	253	253
剒	1.000000	287	287
剓	1.000000	304	304
剕	1.000000	317	317
剘	1.000000	505	505
剙	1.000000	254	254
剚	1.000000	298	298
剞	1.000000	482	482
剟	1.000000	408	408
剠	1.000000	266	266
剡	1.000000	567	567
剢	1.000000	256	256
剣	1.000000	537	537
剤	1.000000	486	486
剨	1.000000	315	315
剫	1.000000	358	358
剬	1.000000	268	268
剭	1.000000	295	295
剰	1.000000	479	479
剱	1.000000	296	296
剳	1.000000	370	370
剶	1.000000	231	231
剸	1.000000	304	304
剹	1.000000	253	253
剻	1.000000	269	269
剼	1.000000	350	350
剾	1.000000	235	235
劀	1.000000	319	319
劁	1.000000	393	393
劂	1.000000	436	436
劄	1.000000	4	4
劅	1.000000	418	418
劆	1.000000	248	248
劋	1.000000	296	296
劌	1.000000	526	526
劎	1.000000	270	270
劐	1.000000	378	378
劒	1.000000	436	436
劓	1.000000	442	442
劔	1.000000	331	331
劕	1.000000	249	249
劖	1.000000	255	255
劗	1.000000	266	266
劘	1.000000	306	306
劙	1.000000	341	341
劜	1.000000	345	345
劤	1.000000	265	265
劥	1.000000	366	366
劦	1.000000	502	502
劧	1.000000	386	386
劮	1.000000	355	355
劯	1.000000	286	286
劰	1.000000	229	229
労	1.000000	477	477
劵	1.000000	636	636
劶	1.000000	196	196
劷	1.000000	227	227
劸	1.000000	262	262
効	1.000000	511	511
劺	1.000000	202	202
劻	1.000000	438	438
劽	1.000000	267	267
勀	1.000000	324	324
勂	1.000000	283	283
勄	1.000000	414	414
勅	1.000000	433	433
勆	1.000000	226	226
勈	1.000000	224	224
勊	1.000000	309	309
勌	1.000000	270	270
勍	1.000000	469	469
勎	1.000000	192	192
勏	1.000000	282	282
勑	1.000000	326	326
勓	1.000000	231	231
勔	1.000000	387	387
勖	1.000000	594	594
勛	1.000000	716	716
勜	1.000000	202	202
勠	1.000000	274	274
勡	1.000000	201	201
勣	1.000000	16	16
勥	1.000000	438	438
勦	1.000000	2	2
勧	1.000000	377	377
勨	1.000000	359	359
勩	1.000000	292	292
勪	1.000000	459	459
勫	1.000000	574	574
勬	1.000000	495	495
勭	1.000000	479	479
勮	1.000000	484	484
勯	1.000000	465	465
勱	1.000000	617	617
勲	1.000000	435	435
勴	1.000000	339	339
勶	1.000000	358	358
勷	1.000000	330	330
勹	1.000000	492	492
勼	1.000000	536	536
勽	1.000000	267	267
匀	1.000000	355	355
匁	1.000000	304	304
匂	1.000000	420	420
匃	1.000000	247	247
匄	1.000000	390	390
匇	1.000000	218	218
匉	1.000000	229	229
匊	1.000000	353	353
匋	1.000000	4	4
匌	1.000000	281	281
匎	1.000000	214	214
匑	1.000000	238	238
匒	1.000000	265	265
匓	1.000000	253	253
匔	1.000000	192	192
匘	1.000000	254	254
匚	1.000000	566	566
匛	1.000000	451	451
匜	1.000000	457	457
匞	1.000000	234	234
匟	1.000000	253	253
匢	1.000000	352	352
匤	1.000000	265	265
匥	1.000000	205	205
匧	1.000000	230	230
匨	1.000000	344	344
匩	1.000000	202	202
匫	1.000000	276	276
匬	1.000000	335	335
匰	1.000000	422	422
匲	1.000000	238	238
匳	1.000000	296	296
匴	1.000000	539	539
匵	1.000000	246	246
匶	1.000000	338	338
匷	1.000000	229	229
匸	1.000000	438	438
医	1.000000	100	100
匼	1.000000	436	436
匽	1.000000	352	352
卂	1.000000	351	351
卄	1.000000	72	72
卆	1.000000	457	457
卋	1.000000	559	559
卌	1.000000	177	177
卍	1.000000	644	644
卐	1.000000	630	630
単	1.000000	565	565
卙	1.000000	381	381
卛	1.000000	336	336
卝	1.000000	423	423
卣	1.000000	573	573
卨	1.000000	350	350
卩	1.000000	597	597
卪	1.000000	374	374
卬	1.000000	31	31
卭	1.000000	250	250
卲	1.000000	514	514
却	1.000000	100	100
卶	1.000000	297	297
卺	1.000000	100	100
卼	1.000000	292	292
卽	1.000000	4	4
卾	1.000000	264	264
厀	1.000000	248	248
厃	1.000000	365	365
厇	1.000000	253	253
厈	1.000000	286	286
厊	1.000000	454	454
厎	1.000000	496	496
厏	1.000000	251	251
厒	1.000000	250	250
厖	1.000000	436	436
厙	1.000000	653	653
厜	1.000000	435	435
厞	1.000000	360	360
厠	1.000000	9788	9788
厡	1.000000	517	517
厢	1.000000	50	50
厤	1.000000	374	374
厦	1.000000	70	70
厧	1.000000	286	286
厨	1.000000	80	80
厩	1.000000	90	90
厫	1.000000	298	298
厬	1.000000	271	271
厮	1.000000	70	70
厯	1.000000	274	274
厰	1.000000	426	426
厱	1.000000	276	276
厳	1.000000	445	445
厴	1.000000	598	598
厶	1.000000	652	652
厷	1.000000	637	637
厸	1.000000	477	477
厹	1.000000	2491	2491
厺	1.000000	448	448
厼	1.000000	551	551
厽	1.000000	335	335
叀	1.000000	371	371
叅	1.000000	369	369
収	1.000000	647	647
叏	1.000000	456	456
叐	1.000000	495	495
叒	1.000000	540	540
叓	1.000000	349	349
叕	1.000000	491	491
叙	1.000000	130	130
叚	1.000000	526	526
叜	1.000000	263	263
叝	1.000000	224	224
叞	1.000000	344	344
叡	1.000000	77	77
叧	1.000000	463	463
叴	1.000000	346	346
号	1.000000	252	252
叹	1.000000	100	100
叺	1.000000	557	557
叽	1.000000	1	1
叿	1.000000	433	433
吀	1.000000	370	370
吂	1.000000	471	471
吅	1.000000	444	444
吇	1.000000	581	581
吔	1.000000	12458	12458
吕	1.000000	100	100
吘	1.000000	387	387
吙	1.000000	508	508
吚	1.000000	462	462
吜	1.000000	429	429
吢	1.000000	641	641
吤	1.000000	392	392
吥	1.000000	865	865
吨	1.000000	100	100
吪	1.000000	408	408
启	1.000000	800	800
吰	1.000000	369	369
吷	1.000000	424	424
吺	1.000000	390	390
吿	1.000000	491	491
呁	1.000000	292	292
呄	1.000000	316	316
呅	1.000000	453	453
呇	1.000000	307	307
呉	1.000000	544	544
呌	1.000000	339	339
呍	1.000000	373	373
呏	1.000000	339	339
呑	1.000000	459	459
呒	1.000000	1	1
呚	1.000000	274	274
呝	1.000000	238	238
呞	1.000000	353	353
呟	1.000000	313	313
呠	1.000000	622	622
呡	1.000000	402	402
呣	1.000000	468	468
呥	1.000000	322	322
呧	1.000000	358	358
呩	1.000000	431	431
呪	1.000000	485	485
呬	1.000000	177	177
呭	1.000000	486	486
呮	1.000000	609	609
呯	1.000000	11479	11479
呰	1.000000	497	497
呴	1.000000	507	507
呹	1.000000	317	317
呺	1.000000	502	502
呾	1.000000	392	392
呿	1.000000	633	633
咃	1.000000	547	547
咅	1.000000	282	282
咇	1.000000	3203	3203
咉	1.000000	286	286
咊	1.000000	442	442
咏	1.000000	100	100
咓	1.000000	386	386
咘	1.000000	513	513
咜	1.000000	570	570
咞	1.000000	239	239
咟	1.000000	403	403
咠	1.000000	264	264
咢	1.000000	345	345
咥	1.000000	431	431
咦	1.000000	129743	129743
咮	1.000000	395	395
咰	1.000000	302	302
咲	1.000000	630	630
咵	1.000000	423	423
咶	1.000000	328	328
咷	1.000000	1	1
咹	1.000000	503	503
咺	1.000000	336	336
咼	1.000000	564	564
哃	1.000000	570	570
哅	1.000000	265	265
哊	1.000000	601	601
哖	1.000000	625	625
哘	1.000000	482	482
哠	1.000000	472	472
哢	1.000000	446	446
哣	1.000000	354	354
哤	1.000000	275	275
哫	1.000000	486	486
哬	1.000000	542	542
哯	1.000000	537	537
哰	1.000000	350	350
哱	1.000000	322	322
哴	1.000000	417	417
哵	1.000000	313	313
哶	1.000000	490	490
哷	1.000000	305	305
哸	1.000000	222	222
哹	1.000000	253	253
哻	1.000000	281	281
哾	1.000000	441	441
哿	1.000000	524	524
唀	1.000000	275	275
唂	1.000000	360	360
唃	1.000000	350	350
唊	1.000000	348	348
唋	1.000000	238	238
唌	1.000000	305	305
唍	1.000000	526	526
唎	1.000000	266	266
唒	1.000000	269	269
唓	1.000000	471	471
唖	1.000000	480	480
唗	1.000000	324	324
唘	1.000000	224	224
唙	1.000000	273	273
唞	1.000000	889	889
唦	1.000000	513	513
唩	1.000000	408	408
唫	1.000000	487	487
唭	1.000000	462	462
唰	1.000000	177	177
唲	1.000000	571	571
唴	1.000000	451	451
唶	1.000000	392	392
唹	1.000000	371	371
唺	1.000000	267	267
唻	1.000000	625	625
唽	1.000000	383	383
啀	1.000000	399	399
啂	1.000000	302	302
啅	1.000000	177	177
啇	1.000000	465	465
啈	1.000000	518	518
啋	1.000000	441	441
啌	1.000000	411	411
啍	1.000000	177	177
啎	1.000000	416	416
啐	1.000000	641	641
啑	1.000000	319	319
啒	1.000000	281	281
啔	1.000000	308	308
啗	1.000000	5	5
啘	1.000000	382	382
啙	1.000000	398	398
啚	1.000000	318	318
啛	1.000000	327	327
啝	1.000000	596	596
啠	1.000000	320	320
啢	1.000000	402	402
啣	1.000000	2	2
啨	1.000000	455	455
啺	1.000000	325	325
啽	1.000000	259	259
啿	1.000000	342	342
喅	1.000000	390	390
喈	1.000000	667	667
喌	1.000000	439	439
喍	1.000000	387	387
喎	1.000000	1169555	1169555
喐	1.000000	473	473
喓	1.000000	644	644
喕	1.000000	471	471
喖	1.000000	348	348
喗	1.000000	278	278
喛	1.000000	335	335
喞	1.000000	522	522
喠	1.000000	471	471
喡	1.000000	354	354
喢	1.000000	247	247
喣	1.000000	295	295
喤	1.000000	424	424
喥	1.000000	4271	4271
喦	1.000000	403	403
喩	1.000000	343	343
喭	1.000000	293	293
喯	1.000000	376	376
喰	1.000000	493	493
喴	1.000000	334	334
営	1.000000	497	497
喺	1.000000	1372535	1372535
喿	1.000000	331	331
嗀	1.000000	273	273
嗁	1.000000	245	245
嗂	1.000000	251	251
嗃	1.000000	306	306
嗄	1.000000	14771	14771
嗈	1.000000	335	335
嗊	1.000000	340	340
嗋	1.000000	237	237
嗍	1.000000	584	584
嗏	1.000000	504	504
嗐	1.000000	550	550
嗕	1.000000	447	447
嗗	1.000000	541	541
嗘	1.000000	465	465
嗙	1.000000	88	88
嗞	1.000000	497	497
嗠	1.000000	332	332
嗢	1.000000	391	391
嗵	1.000000	587	587
嗸	1.000000	247	247
嗹	1.000000	1	1
嗺	1.000000	278	278
嗻	1.000000	495	495
嗼	1.000000	485	485
嗿	1.000000	440	440
嘂	1.000000	490	490
嘃	1.000000	199	199
嘄	1.000000	308	308
嘇	1.000000	340	340
嘊	1.000000	297	297
嘋	1.000000	386	386
嘏	1.000000	534	534
嘐	1.000000	308	308
嘑	1.000000	344	344
嘒	1.000000	365	365
嘕	1.000000	231	231
嘙	1.000000	567	567
嘝	1.000000	224	224
嘞	1.000000	77685	77685
嘥	1.000000	5161	5161
嘦	1.000000	403	403
嘨	1.000000	336	336
嘪	1.000000	425	425
嘫	1.000000	600	600
嘬	1.000000	637	637
嘭	1.000000	7296	7296
嘳	1.000000	223	223
嘷	1.000000	284	284
嘺	1.000000	252	252
嘼	1.000000	348	348
嘾	1.000000	240	240
噂	1.000000	397	397
噃	1.000000	493	493
噄	1.000000	259	259
噅	1.000000	304	304
噆	1.000000	264	264
噇	1.000000	305	305
噈	1.000000	567	567
噊	1.000000	227	227
噋	1.000000	255	255
噏	1.000000	8186	8186
噐	1.000000	465	465
噑	1.000000	362	362
噒	1.000000	371	371
噕	1.000000	296	296
噖	1.000000	380	380
噛	1.000000	371	371
噞	1.000000	252	252
噟	1.000000	358	358
噡	1.000000	244	244
噣	1.000000	346	346
噧	1.000000	323	323
噭	1.000000	414	414
噮	1.000000	279	279
噰	1.000000	397	397
噲	1.000000	601	601
噳	1.000000	304	304
噵	1.000000	567	567
噷	1.000000	437	437
噺	1.000000	563	563
噽	1.000000	309	309
噾	1.000000	442	442
噿	1.000000	259	259
嚁	1.000000	239	239
嚂	1.000000	338	338
嚃	1.000000	266	266
嚆	1.000000	390	390
嚈	1.000000	363	363
嚉	1.000000	346	346
嚊	1.000000	244	244
嚋	1.000000	205	205
嚍	1.000000	257	257
嚔	1.000000	259	259
嚖	1.000000	372	372
嚗	1.000000	433	433
嚘	1.000000	316	316
嚙	1.000000	592	592
嚚	1.000000	351	351
嚛	1.000000	425	425
嚜	1.000000	486	486
嚝	1.000000	207	207
嚞	1.000000	361	361
嚠	1.000000	376	376
嚢	1.000000	387	387
嚦	1.000000	603	603
嚧	1.000000	511	511
嚩	1.000000	515	515
嚪	1.000000	280	280
嚫	1.000000	381	381
嚬	1.000000	364	364
嚭	1.000000	503	503
嚯	1.000000	606	606
嚱	1.000000	429	429
嚲	1.000000	391	391
嚵	1.000000	255	255
嚻	1.000000	363	363
嚽	1.000000	204	204
囀	1.000000	585	585
囃	1.000000	426	426
囅	1.000000	379	379
囆	1.000000	238	238
囇	1.000000	380	380
囋	1.000000	329	329
囍	1.000000	266	266
囎	1.000000	327	327
囏	1.000000	304	304
囐	1.000000	305	305
囒	1.000000	345	345
囓	1.000000	177	177
囗	1.000000	533	533
囘	1.000000	666	666
囙	1.000000	531	531
囜	1.000000	377	377
团	1.000000	1	1
団	1.000000	583	583
囥	1.000000	442	442
囦	1.000000	468	468
囨	1.000000	533	533
囩	1.000000	489	489
囬	1.000000	681	681
园	1.000000	30	30
囮	1.000000	482	482
囯	1.000000	509	509
囲	1.000000	499	499
図	1.000000	552	552
囶	1.000000	407	407
囷	1.000000	495	495
囸	1.000000	492	492
囻	1.000000	436	436
囼	1.000000	428	428
国	1.000000	100	100
圀	1.000000	407	407
圁	1.000000	388	388
圂	1.000000	368	368
圅	1.000000	345	345
圊	1.000000	531	531
圌	1.000000	382	382
圎	1.000000	422	422
圏	1.000000	534	534
圐	1.000000	403	403
圑	1.000000	350	350
圔	1.000000	314	314
圗	1.000000	363	363
圚	1.000000	372	372
圛	1.000000	314	314
圝	1.000000	525	525
圞	1.000000	1	1
圠	1.000000	301	301
圡	1.000000	409	409
圢	1.000000	269	269
圣	1.000000	400	400
圤	1.000000	344	344
圥	1.000000	357	357
圦	1.000000	319	319
圧	1.000000	620	620
圫	1.000000	238	238
圬	1.000000	467	467
圯	1.000000	551	551
圱	1.000000	352	352
圲	1.000000	252	252
圴	1.000000	398	398
圵	1.000000	412	412
圶	1.000000	239	239
圷	1.000000	456	456
圸	1.000000	304	304
圼	1.000000	270	270
圽	1.000000	226	226
圿	1.000000	322	322
坁	1.000000	258	258
坃	1.000000	269	269
坄	1.000000	202	202
坅	1.000000	245	245
坆	1.000000	389	389
坈	1.000000	324	324
坉	1.000000	330	330
坏	1.000000	400	400
坒	1.000000	313	313
坓	1.000000	235	235
坔	1.000000	301	301
坕	1.000000	204	204
坖	1.000000	231	231
