rank	literal	freq
884	譬如	36395
885	鐘	36395
886	既然	36306
887	處	36306
888	冇事	36217
889	即使	36217
890	實在	36128
891	幫手	36128
892	與	36128
893	普通	36039
894	紙	36039
895	得閒	35950
896	主人	35861
897	內	35861
898	大學	35861
899	甜	35861
900	闆	35861
901	黑色	35861
902	仆街	35772
903	感	35683
904	夜晚	35594
905	紅	35594
906	點會	35594
907	班長	35505
908	糖	35505
909	雲	35505
910	毒	35416
911	盒	35416
912	奶	35327
913	性	35327
914	抽	35327
915	穿過	35327
916	裙	35327
917	個位	35149
918	政	35149
919	好玩	34971
920	攻擊	34971
921	旅行	34882
922	屎	34793
923	心情	34615
924	晴	34615
925	由於	34615
926	遮	34615
927	消失	34526
928	可愛	34437
929	賢	34437
930	返學	34437
931	左右	34348
932	皓	34259
933	口水	34170
934	心諗	34170
935	雨	34170
936	琴	34082
937	病	34082
938	近	34082
939	那裏	34029
940	工作	33993
941	意	33993
942	的士	33993
943	第	33993
944	哩個	33904
945	我仲	33904
946	旁邊	33904
947	能	33904
948	返嚟	33815
949	啞	33726
950	存在	33726
951	左邊	33726
952	電腦	33726
953	魔	33726
954	七	33637
955	分別	33637
956	面對	33637
957	飽	33637
958	問我	33548
959	絕對	33548
960	日子	33459
961	聯繫	33397
962	回憶	33370
963	垃圾	33370
964	室	33370
965	理由	33370
966	小姐	33192
967	白	33192
968	留意	33103
969	髮	33103
970	人類	33014
971	讓	33014
972	盡	32925
973	一手	32836
974	咀	32836
975	嘈	32836
976	蛋糕	32836
977	到時	32747
978	危險	32747
979	太陽	32747
980	底	32747
981	角	32747
982	早餐	32658
983	現實	32658
984	用力	32658
985	像	32569
986	嗰個	32569
987	最好	32569
988	肚餓	32569
989	冇錯	32480
990	緊要	32480
991	馬上	32480
992	努力	32391
993	十分	32391
994	動作	32302
995	樓	32302
996	返工	32302
997	星期	32213
998	膊頭	32213
999	興趣	32213
1000	三個	32124
1001	介紹	32124
1002	麻煩	32124
1003	的確	32035
1004	感情	31946
1005	講嘢	31946
1006	眼鏡	31857
1007	喫飯	31690
1008	愈	31679
1009	短	31679
1010	少女	31590
1011	真正	31590
1012	魔法	31590
1013	休息	31501
1014	受	31412
1015	可惜	31412
1016	好睇	31412
1017	使	31323
1018	依然	31323
1019	的話	31268
1020	忽然	31234
1021	段	31234
1022	照顧	31234
1023	花	31234
1024	詩	31234
1025	代表	31145
1026	熊	31145
1027	我點	31056
1028	爆	31056
1029	精神	31056
1030	至於	31056
1031	上次	30967
1032	原本	30967
1033	嘉琪	30967
1034	失去	30878
1035	阿婆	30878
1036	夢	30700
1037	對於	30700
1038	環境	30700
1039	檯	30638
1040	無奈	30611
1041	身上	30611
1042	切	30522
1043	追	30522
1044	政府	30433
1045	靚仔	30433
1046	牆	30344
1047	之下	30166
1048	令到	30166
1049	意識	30166
1050	襪	30077
1051	一間	29988
1052	打算	29988
1053	排	29899
1054	瞬間	29899
1055	讀書	29899
1056	影響	29810
1057	記憶	29810
1058	賣	29810
1059	分手	29721
1060	套	29721
1061	錄	29721
1062	剛纔	29663
1063	一係	29632
1064	痕	29632
1065	腰	29632
1066	中的	29595
1067	射	29543
1068	交	29454
1069	上堂	29365
1070	主動	29365
1071	全身	29365
1072	型	29365
1073	微笑	29365
1074	工	29276
1075	已	29187
1076	笑容	29187
1077	橙	29098
1078	港	29098
1079	准	29009
1080	居然	29009
1081	洞	29009
1082	驚訝	28920
1083	利利	28831
1084	控制	28831
1085	靚女	28831
1086	麵	28831
1087	放低	28742
1088	一件	28653
1089	另外	28653
1090	唯一	28653
1091	沙漠	28475
1092	副	28386
1093	唔緊要	28386
1094	外面	28386
1095	尾	28386
1096	幾好	28386
1097	我用	28386
1098	語氣	28297
1099	靠	28297
1100	衰	28208
1101	軒轅	28208
1102	一段	28119
1103	噼	28119
1104	夾	28119
1105	醫院	28119
1106	隊	28119
1107	書包	28030
1108	他的	27947
1109	安全	27941
1110	我將	27941
1111	換	27941
1112	明顯	27941
1113	正當	27941
1114	龍	27941
1115	無啦啦	27852
1116	睇嚟	27852
1117	假	27763
1118	冷靜	27763
1119	場	27763
1120	嘻	27674
1121	快樂	27674
1122	樽	27674
1123	光	27585
1124	解	27585
1125	靜	27585
1126	天	27496
1127	女神	27496
1128	砰	27496
1129	禮物	27496
1130	終點	27496
1131	茵	27496
1132	嘗試	27407
1133	搶	27407
1134	呼吸	27319
1135	回	27319
1136	日本	27319
1137	窿	27319
1138	響度	27319
1139	喲	27230
1140	校服	27230
1141	電	27230
1142	劍	27141
1143	爹爹	27141
1144	進入	27141
1145	大個	27052
1146	鎖匙	27052
1147	個頭	26963
1148	出街	26963
1149	放棄	26963
1150	有錢	26963
1151	底褲	26785
1152	碗	26785
1153	試過	26785
1154	貼	26785
1155	依度	26696
1156	樓下	26696
1157	無人	26696
1158	只不過	26607
1159	鴨	26607
1160	出發	26518
1161	反正	26518
1162	米	26518
1163	阿文	26518
1164	基本上	26429
1165	照	26429
1166	同人	26340
1167	沙	26340
1168	溫柔	26340
1169	首先	26340
1170	右邊	26251
1171	痛苦	26251
1172	遇到	26251
1173	介意	26162
1174	耳仔	26162
1175	零	26162
1176	廚房	26073
1177	轉頭	26073
1178	兄弟	25984
1179	條女	25984
1180	氣	25984
1181	無事	25984
1182	犀利	25984
1183	仆	25895
1184	哎	25895
1185	大哥	25895
1186	今年	25717
1187	內心	25717
1188	哼	25717
1189	拍拖	25717
1190	沖涼	25717
1191	每次	25628
1192	裝	25628
1193	小熙	25539
1194	校長	25539
1195	豬	25539
1196	雙	25539
1197	點鐘	25539
1198	園	25450
1199	屋企人	25450
1200	背	25450
1201	行到	25450
1202	今	25361
1203	充滿	25361
1204	核突	25361
1205	現在	25361
1206	鐸	25361
1207	一步	25272
1208	台	25272
1209	硬	25272
1210	對面	25183
1211	發	25183
1212	除了	25136
1213	串	25094
1214	左手	25094
1215	性格	25094
1216	紮	25094
1217	起碼	25094
1218	尿	25005
1219	愛情	25005
1220	綁	25005
1221	動物	24916
1222	應承	24916
1223	片	24916
1224	經歷	24916
1225	凳	24827
1226	感到	24827
1227	拆	24827
1228	綠色	24827
1229	這個	24827
1230	下次	24738
1231	借	24738
1232	阿南	24738
1233	剩	24649
1234	夜	24649
1235	容易	24649
1236	如	24560
1237	船	24560
1238	呢種	24471
1239	琴晚	24471
1240	嘅事	24382
1241	好過	24382
1242	教授	24382
1243	後生	24293
1244	深	24293
1245	一時	24204
1246	傷害	24204
1247	暖	24026
1248	熟	24026
1249	祖先	24026
1250	金	24026
1251	錶	24026
1252	傳	23937
1253	坐低	23937
1254	幻想	23937
1255	應	23937
1256	梗	23937
1257	遺書	23937
1258	完成	23848
1259	急	23759
1260	朗	23759
1261	大約	23670
1262	講真	23670
1263	到了	23595
1264	一點	23581
1265	咗去	23581
1266	情緒	23581
1267	派	23581
1268	細細聲	23581
1269	要求	23581
1270	輕輕	23581
1271	一片	23492
1272	享受	23492
1273	發覺	23492
1274	一半	23403
1275	小朋友	23403
1276	腦海	23403
1277	阿嘉	23403
1278	失蹤	23314
1279	忘記	23314
1280	懷疑	23314
1281	故	23314
1282	習慣	23314
1283	機場	23225
1284	滿足	23225
1285	父母	23225
1286	背後	23225
1287	解決	23225
1288	負責	23136
1289	中心	23047
1290	叮	23047
1291	地鐵	23047
1292	收到	23047
1293	玻璃	23047
1294	讓我	23039
1295	接近	22958
1296	有事	22958
1297	槍	22958
1298	琴日	22958
1299	雪琪	22958
1300	一笑	22869
1301	去邊	22869
1302	指住	22869
1303	最多	22869
1304	毛巾	22869
1305	粉紅	22869
1306	結婚	22869
1307	細個	22780
1308	阿爸	22780
1309	雙眼	22780
1310	乜嘢	22691
1311	扣	22691
1312	社會	22691
1313	認識	22691
1314	及	22602
1315	吸引	22602
1316	塔	22602
1317	天晴	22602
1318	星華	22602
1319	熊仔	22602
1320	茶	22602
1321	視線	22602
1322	講得	22602
1323	陣間	22602
1324	手臂	22513
1325	癡	22512
1326	一口氣	22424
1327	對話	22424
1328	成績	22424
1329	目光	22424
1330	阿哥	22424
1331	好了	22364
1332	外	22335
1333	大話	22335
1334	有人	22335
1335	變態	22335
1336	通常	22335
1337	鏡	22335
1338	右手	22246
1339	同樣	22246
1340	出口	22157
1341	幾日	22157
1342	時侯	22157
1343	遲	22157
1344	麵包	22157
1345	今朝	22068
1346	全	22068
1347	出來	22068
1348	期待	22068
1349	一年	21979
1350	再講	21979
1351	小學	21979
1352	方面	21979
1353	處理	21979
1354	酒	21979
1355	大力	21890
1356	窗	21890
1357	考	21890
1358	乾	21801
1359	味道	21801
1360	暗	21801
1361	背脊	21801
1362	我是	21752
1363	扑	21712
1364	畫面	21712
1365	阻止	21712
1366	來說	21628
1367	子	21623
1368	豆	21623
1369	阿晴	21623
1370	一張	21534
1371	大陸	21534
1372	往	21534
1373	我行	21534
1374	梳化	21534
1375	棵	21534
1376	眼睛	21534
1377	你好	21493
1378	狀態	21445
1379	有機	21356
1380	法	21356
1381	行動	21356
1382	起來	21356
1383	速度	21356
1384	宜家	21267
1385	數	21267
1386	答案	21267
1387	層	21178
1388	氣氛	21178
1389	咗好	21089
1390	姨	21089
1391	某	21089
1392	第二個	21089
1393	自	21089
1394	震	21089
1395	一般	21000
1396	伸出	21000
1397	搬	21000
1398	藍色	21000
1399	話題	21000
1400	有沒有	20959
1401	嚇	20911
1402	大叔	20911
1403	目標	20911
1404	蛇	20911
1405	記住	20911
1406	回答	20822
1407	跪	20822
1408	運動	20822
1409	上嚟	20733
1410	地點	20733
1411	西	20733
1412	計劃	20733
1413	靈	20733
1414	點都	20733
1415	龜	20733
1416	有種	20644
1417	朱古力	20644
1418	煙	20644
1419	生存	20644
1420	事實	20555
1421	互相	20555
1422	活動	20555
1423	淫	20555
1424	逼	20555
1425	一世	20467
1426	一眼	20467
1427	咳	20467
1428	嚟講	20467
1429	師兄	20467
1430	有點	20467
1431	池	20467
1432	鼻	20467
1433	溫書	20466
1434	我也	20384
1435	書書	20378
1436	走廊	20378
1437	輸	20378
1438	還是	20378
1439	可是	20289
1440	好聽	20289
1441	對住	20289
1442	戲	20289
1443	武器	20289
1444	讚	20289
1445	祕密	20279
1446	後悔	20200
1447	易	20200
1448	杞	20200
1449	試下	20200
1450	音	20200
1451	傾計	20111
1452	加	20111
1453	才	20111
1454	扶	20111
1455	拒絕	20111
1456	曦	20111
1457	立刻	20111
1458	至少	20111
1459	也不	20076
1460	也有	20058
1461	屬於	20022
1462	無聊	20022
1463	酒店	20022
1464	𥄫	20000
1465	嚇到	19933
1466	地圖	19933
1467	汁	19933
1468	特登	19933
1469	生命	19933
1470	計	19933
1471	這	19933
1472	服務器	19845
1473	單車	19844
1474	妖怪	19844
1475	汗	19844
1476	激動	19844
1477	熟悉	19844
1478	裡面	19844
1479	課室	19844
1480	好好	19833
1481	天凡	19755
1482	岩	19755
1483	慘	19755
1484	王	19755
1485	關心	19755
1486	風	19755
1487	點呀	19755
1488	城	19666
1489	攪	19666
1490	星儀	19666
1491	最近	19666
1492	碟	19666
1493	響起	19666
1494	事情	19577
1495	吻	19577
1496	毫無	19577
1497	班房	19577
1498	一份	19488
1499	媽	19488
1500	都有	19453
1501	刺激	19399
1502	想像	19399
1503	揭	19399
1504	支持	19399
1505	無錯	19399
1506	伸手	19310
1507	其	19310
1508	安慰	19310
1509	按	19310
1510	自從	19310
1511	功課	19221
1512	單	19221
1513	寶萱	19221
1514	講緊	19221
1515	屍體	19132
1516	方便	19132
1517	皮	19132
1518	幾乎	19043
1519	恨	19043
1520	林	19043
1521	紙巾	19043
1522	自由	19043
1523	茅屋	19043
1524	落嚟	19043
1525	重新	19043
1526	家裏	19040
1527	他們	18954
1528	唔多	18954
1529	唔錯	18954
1530	我心	18954
1531	真心	18954
1532	老婆	18954
1533	馬騮	18954
1534	伯伯	18865
1535	分開	18865
1536	掃	18865
1537	留低	18865
1538	一臉	18776
1539	再見	18776
1540	大大	18776
1541	渣	18776
1542	聞	18776
1543	肚	18776
1544	是個	18725
1545	嗰陣	18687
1546	小柔	18687
1547	頸	18687
1548	店	18598
1549	裏便	18598
1550	輕	18598
1551	食物	18598
1552	慢	18509
1553	或	18509
1554	油	18509
1555	畀人	18509
1556	當初	18509
1557	考試	18509
1558	蛋	18509
1559	上的	18464
1560	要是	18453
1561	先會	18420
1562	反	18420
1563	塞	18420
1564	大嗌	18420
1565	會見	18420
1566	未必	18420
1567	總係	18420
1568	鬆	18420
1569	各位	18331
1570	小海	18331
1571	惡	18331
1572	戰鬥	18331
1573	早晨	18331
1574	當日	18331
1575	高潮	18331
1576	房子	18320
1577	女性	18242
1578	文	18242
1579	直	18242
1580	辮	18242
1581	願意	18242
1582	叉	18153
1583	哈哈哈	18153
1584	較	18153
1585	博客	18096
1586	泳池	18064
1587	牛奶	18064
1588	秦	18064
1589	見過	18064
1590	仲未	17975
1591	喜歡	17975
1592	姊妹	17975
1593	老鼠	17975
1594	詩詩	17975
1595	返起	17975
1596	阿叔	17975
1597	化	17886
1598	善	17886
1599	圈	17886
1600	打電話	17886
1601	搞掂	17886
1602	暫時	17886
1603	炒	17886
