rank_u	literal	freq
774	幅	11924
775	眼訓	11924
776	薯條	11924
777	阿洛	11924
778	不嬲	11835
779	乖乖	11835
780	同班	11835
781	周景臻	11835
782	商場	11835
783	想講	11835
784	笑笑口	11835
785	地要	11746
786	好味	11746
787	微微	11746
788	條線	11746
789	無意	11746
790	精靈	11746
791	講我	11746
792	都要	11739
793	算了	11725
794	再說	11681
795	成了	11659
796	喔	11657
797	多個	11657
798	孖	11657
799	撐	11657
800	蘭卡特	11657
801	點啊	11657
802	南京	11577
803	下個	11568
804	又點	11568
805	暑假	11568
806	白兔	11568
807	眯	11568
808	篤	11568
809	總算	11568
810	呯	11479
811	唔怪得	11479
812	噗	11479
813	明知	11479
814	此刻	11479
815	粗口	11479
816	耳邊	11479
817	話說	11479
818	也會	11478
819	一時間	11390
820	我怕	11390
821	阿俊	11390
822	阿盈	11390
823	也要	11354
824	唔知幾	11301
825	就像	11229
826	做嘢	11212
827	兩年	11212
828	千秋	11212
829	報警	11212
830	太多	11212
831	幾次	11212
832	弱	11212
833	沈澈	11212
834	越來越	11148
835	都不	11128
836	一嘢	11123
837	基本	11123
838	我嗰	11123
839	爽	11123
840	趕	11123
841	通	11123
842	隊長	11123
843	我不	11116
844	數據庫	11114
845	咱們	11055
846	一生	11034
847	好朋友	11034
848	摺	11034
849	洲	11034
850	看更	11034
851	確實	11034
852	臨	11034
853	落車	11034
854	錄音	11034
855	乳頭	10945
856	依種	10945
857	出奇	10945
858	張床	10945
859	待續	10945
860	悶	10945
861	爭	10945
862	細路仔	10945
863	西瓜	10945
864	香香	10945
865	人會	10856
866	作出	10856
867	冇用	10856
868	幫到	10856
869	拗	10856
870	睬	10856
871	自動	10856
872	講咗句	10856
873	金字塔	10856
874	不了	10841
875	之類	10767
876	伏	10767
877	你估	10767
878	偷偷	10767
879	咳咳	10767
880	峻	10767
881	最終	10767
882	做了	10765
883	在線	10760
884	幫我	10739
885	成都	10700
886	對了	10696
887	一支	10678
888	任	10678
889	低頭	10678
890	傳出	10678
891	先知	10678
892	剝	10678
893	將個	10678
894	曳曳	10678
895	水喉	10678
896	無謂	10678
897	開學	10678
898	靈風	10678
899	係噉	10589
900	兔兔	10589
901	啤	10589
902	夠鐘	10589
903	盛	10589
904	來看	10506
905	京香	10500
906	摟	10500
907	眼見	10500
908	言	10500
909	過咗	10500
910	鈴	10500
911	骷髏	10500
912	黐	10500
913	買了	10495
914	是一種	10488
915	及其	10438
916	個心	10411
917	書生	10411
918	校	10411
919	白白	10411
920	蔣	10411
921	共	10322
922	冇嘢	10322
923	原	10322
924	純	10322
925	萍	10322
926	落到	10322
927	更多的	10290
928	人的	10234
929	各自	10233
930	就將	10233
931	我條	10233
932	王胤瀅	10233
933	藥水	10233
934	衣	10233
935	有了	10206
936	入嚟	10144
937	命	10144
938	嘔	10144
939	忽	10144
940	我嚟	10144
941	聖賢	10144
942	還有	10144
943	一下子	10055
944	口氣	10055
945	嘢食	10055
946	希	10055
947	深深	10055
948	菲兒	10055
949	過得	10055
950	即可	9999
951	一人	9966
952	可樂	9966
953	咗一個	9966
954	嘅樣	9966
955	好返	9966
956	焗	9966
957	爲食	9966
958	號碼	9966
959	從而	9930
960	再問	9877
961	咗入	9877
962	煲	9877
963	第日	9877
964	蔣泳	9877
965	返轉頭	9877
966	爲何	9825
967	一睇	9788
968	再望	9788
969	厠	9788
970	吹水	9788
971	大樹	9788
972	怕醜	9788
973	成班	9788
974	洗頭水	9788
975	無比	9788
976	蕹	9788
977	這是	9788
978	非	9788
979	點做	9788
980	用於	9732
981	應當	9711
982	咁上下	9699
983	如何	9699
984	尖	9699
985	心裡	9699
986	手仔	9699
987	架車	9699
988	軟	9699
989	開頭	9699
990	雙腳	9699
991	來到	9694
992	多了	9683
993	最大的	9683
994	它的	9663
995	就在	9655
