literal	pattern	pos	family
逛來逛去	ABAC	v,r	idiom
速戰速決	ABAC	a,v	idiom
閒言閒語	ABAC	a,v	idiom
阻頭阻勢	ABAC	a,v	idiom
阿貓阿狗	ABAC	n	idiom
隨傳隨到	ABAC	a,v	idiom
隨叫隨到	ABAC	a,v	idiom
雙宿雙飛	ABAC	a,v	idiom
雜七雜八	ABAC	a,v	idiom
離心離德	ABAC	a,v	idiom
難上加難	AxxA	a	idiom
難捨難分	ABAC	a,v	idiom
難捨難離	ABAC	a,v	idiom
電子電路	ABAC	n	
順風順水	ABAC	a,v	idiom
風言風語	ABAC	a,v	idiom
飛來飛去	ABAC	v,r	idiom
鬥智鬥力	ABAC	a,v	idiom
鬥智鬥勇	ABAC	a,v	idiom
