rank	head	essay_frequency	batch_index
676	代表	31145	2
677	熊	31145	2
678	爆	31056	2
679	精神	31056	2
680	至於	31056	2
681	上次	30967	2
682	原本	30967	2
683	失去	30878	2
684	阿婆	30878	2
685	夢	30700	2
686	環境	30700	2
687	無奈	30611	2
688	身上	30611	2
689	切	30522	2
690	追	30522	2
691	政府	30433	2
692	牆	30344	2
693	之下	30166	2
694	意識	30166	2
695	襪	30077	2
696	打算	29988	2
697	排	29899	2
698	瞬間	29899	2
699	讀書	29899	2
700	影響	29810	2
701	記憶	29810	2
702	分手	29721	2
703	套	29721	2
704	錄	29721	2
705	剛纔	29663	2
706	痕	29632	2
707	腰	29632	2
708	射	29543	2
709	主動	29365	2
710	全身	29365	2
711	型	29365	2
712	微笑	29365	2
713	已	29187	2
714	笑容	29187	2
715	橙	29098	2
716	港	29098	2
717	居然	29009	2
718	洞	29009	2
719	控制	28831	2
720	靚女	28831	2
721	另外	28653	2
722	唯一	28653	2
723	沙漠	28475	2
724	副	28386	2
725	外面	28386	2
726	語氣	28297	2
727	靠	28297	2
728	夾	28119	2
729	醫院	28119	2
730	隊	28119	2
731	書包	28030	2
732	換	27941	2
733	明顯	27941	2
734	正當	27941	2
735	龍	27941	2
736	冷靜	27763	2
737	場	27763	2
738	嘻	27674	2
739	快樂	27674	2
740	樽	27674	2
741	光	27585	2
742	解	27585	2
743	女神	27496	2
744	砰	27496	2
745	禮物	27496	2
746	終點	27496	2
747	茵	27496	2
748	嘗試	27407	2
749	搶	27407	2
750	呼吸	27319	2
751	回	27319	2
752	日本	27319	2
753	窿	27319	2
754	響度	27319	2
755	喲	27230	2
756	校服	27230	2
757	電	27230	2
758	劍	27141	2
759	爹爹	27141	2
760	進入	27141	2
761	大個	27052	2
762	放棄	26963	2
763	有錢	26963	2
764	貼	26785	2
765	樓下	26696	2
766	只不過	26607	2
767	鴨	26607	2
768	出發	26518	2
769	反正	26518	2
770	米	26518	2
771	基本上	26429	2
772	照	26429	2
773	同人	26340	2
774	沙	26340	2
775	溫柔	26340	2
776	右邊	26251	2
777	遇到	26251	2
778	介意	26162	2
779	零	26162	2
780	廚房	26073	2
781	轉頭	26073	2
782	兄弟	25984	2
783	氣	25984	2
784	犀利	25984	2
785	哎	25895	2
786	大哥	25895	2
787	今年	25717	2
788	內心	25717	2
789	哼	25717	2
790	沖涼	25717	2
791	每次	25628	2
792	裝	25628	2
793	校長	25539	2
794	豬	25539	2
795	園	25450	2
796	背	25450	2
797	充滿	25361	2
798	現在	25361	2
799	鐸	25361	2
800	對面	25183	2
801	發	25183	2
802	除了	25136	2
803	串	25094	2
804	左手	25094	2
805	性格	25094	2
806	起碼	25094	2
807	尿	25005	2
808	愛情	25005	2
809	綁	25005	2
810	動物	24916	2
811	應承	24916	2
812	片	24916	2
813	經歷	24916	2
814	凳	24827	2
815	感到	24827	2
816	拆	24827	2
817	綠色	24827	2
818	這個	24827	2
819	借	24738	2
820	剩	24649	2
821	如	24560	2
822	船	24560	2
823	好過	24382	2
824	教授	24382	2
825	後生	24293	2
826	一時	24204	2
827	傷害	24204	2
828	祖先	24026	2
829	金	24026	2
830	傳	23937	2
831	幻想	23937	2
832	梗	23937	2
833	遺書	23937	2
834	完成	23848	2
835	朗	23759	2
836	大約	23670	2
837	一點	23581	2
838	情緒	23581	2
839	派	23581	2
840	要求	23581	2
841	輕輕	23581	2
842	享受	23492	2
843	發覺	23492	2
844	一半	23403	2
845	小朋友	23403	2
846	腦海	23403	2
847	失蹤	23314	2
848	忘記	23314	2
849	故	23314	2
850	習慣	23314	2
851	滿足	23225	2
852	父母	23225	2
853	背後	23225	2
854	解決	23225	2
855	負責	23136	2
856	中心	23047	2
857	叮	23047	2
858	地鐵	23047	2
859	收到	23047	2
860	玻璃	23047	2
861	接近	22958	2
862	槍	22958	2
863	最多	22869	2
864	毛巾	22869	2
865	粉紅	22869	2
866	結婚	22869	2
867	阿爸	22780	2
868	雙眼	22780	2
869	扣	22691	2
870	及	22602	2
871	吸引	22602	2
872	塔	22602	2
873	茶	22602	2
874	手臂	22513	2
875	癡	22512	2
876	一口氣	22424	2
877	對話	22424	2
878	成績	22424	2
879	目光	22424	2
880	阿哥	22424	2
881	大話	22335	2
882	變態	22335	2
883	通常	22335	2
884	鏡	22335	2
885	右手	22246	2
886	同樣	22246	2
887	出口	22157	2
888	今朝	22068	2
889	全	22068	2
890	出來	22068	2
891	期待	22068	2
892	小學	21979	2
893	方面	21979	2
894	處理	21979	2
895	酒	21979	2
896	大力	21890	2
897	窗	21890	2
898	考	21890	2
899	乾	21801	2
900	味道	21801	2
901	背脊	21801	2
902	畫面	21712	2
903	阻止	21712	2
904	豆	21623	2
905	大陸	21534	2
906	棵	21534	2
907	眼睛	21534	2
908	狀態	21445	2
909	有機	21356	2
910	法	21356	2
911	行動	21356	2
912	起來	21356	2
913	速度	21356	2
914	數	21267	2
915	答案	21267	2
916	層	21178	2
917	氣氛	21178	2
918	姨	21089	2
919	某	21089	2
920	自	21089	2
921	震	21089	2
922	搬	21000	2
923	藍色	21000	2
924	話題	21000	2
925	嚇	20911	2
926	大叔	20911	2
927	目標	20911	2
928	蛇	20911	2
929	記住	20911	2
930	回答	20822	2
931	跪	20822	2
932	運動	20822	2
933	地點	20733	2
934	計劃	20733	2
935	靈	20733	2
936	龜	20733	2
937	有種	20644	2
938	朱古力	20644	2
939	煙	20644	2
940	生存	20644	2
941	事實	20555	2
942	互相	20555	2
943	活動	20555	2
944	淫	20555	2
945	逼	20555	2
946	一世	20467	2
947	咳	20467	2
948	有點	20467	2
949	池	20467	2
950	鼻	20467	2
951	溫書	20466	2
952	走廊	20378	2
953	還是	20378	2
954	可是	20289	2
955	好聽	20289	2
956	戲	20289	2
957	武器	20289	2
958	祕密	20279	2
959	後悔	20200	2
960	易	20200	2
961	杞	20200	2
962	才	20111	2
963	扶	20111	2
964	曦	20111	2
965	立刻	20111	2
966	至少	20111	2
967	屬於	20022	2
968	無聊	20022	2
969	酒店	20022	2
970	地圖	19933	2
971	汁	19933	2
972	生命	19933	2
973	計	19933	2
974	這	19933	2
975	服務器	19845	2
976	單車	19844	2
977	妖怪	19844	2
978	汗	19844	2
979	激動	19844	2
980	好好	19833	2
981	慘	19755	2
982	王	19755	2
983	關心	19755	2
984	風	19755	2
985	攪	19666	2
986	最近	19666	2
987	碟	19666	2
988	響起	19666	2
989	事情	19577	2
990	吻	19577	2
991	毫無	19577	2
992	班房	19577	2
993	媽	19488	2
994	刺激	19399	2
995	想像	19399	2
996	揭	19399	2
997	支持	19399	2
998	伸手	19310	2
999	其	19310	2
1000	安慰	19310	2
1001	按	19310	3
1002	自從	19310	3
1003	功課	19221	3
1004	屍體	19132	3
1005	方便	19132	3
1006	皮	19132	3
1007	幾乎	19043	3
1008	林	19043	3
1009	自由	19043	3
1010	茅屋	19043	3
1011	重新	19043	3
1012	家裏	19040	3
1013	他們	18954	3
1014	真心	18954	3
1015	老婆	18954	3
1016	伯伯	18865	3
1017	分開	18865	3
1018	掃	18865	3
1019	再見	18776	3
1020	大大	18776	3
1021	渣	18776	3
1022	聞	18776	3
1023	肚	18776	3
1024	頸	18687	3
1025	店	18598	3
1026	食物	18598	3
1027	或	18509	3
