rank	head	essay_frequency	syn_tails	syn_neighbors
276	晏晝	7296	1	下午
277	本能	7296	1	天性
278	雞仔	7296	1	雞
279	一口	7207	1	一口氣
280	毫子	7207	1	零錢
281	細細個	7118	1	小時候
282	尿片	7029	1	尿布
283	利是	6940	1	紅包
284	胸圍	6940	1	胸罩
285	金毛	6940	1	狗
286	電單車	6940	1	摩托車
287	契媽	6851	1	義母
288	廣東話	6851	1	粵語
289	重有	6851	1	還有
290	鼻哥	6851	1	鼻子
291	一次過	6763	1	一口氣
292	乜鬼	6763	1	什麼
293	搞錯	6763	1	弄錯
294	有份	6763	1	參與
295	死仔	6674	1	該死
296	餅乾	6674	1	曲奇
297	成世	6585	1	一輩子
298	第二次	6585	1	再次
299	當堂	6496	1	當場
300	鐵閘	6496	1	鐵門
301	工作人員	6440	1	職員
302	空調	6435	1	冷氣
303	呢邊	6407	1	這邊
304	嚇親	6407	1	受驚
305	想問	6407	1	請問
306	第二朝	6407	1	翌日
307	好易	6318	1	容易
308	尋日	6318	1	昨天
309	卻是	6256	1	倒是
310	大件事	6229	1	大事
311	山窿	6229	1	山洞
312	黐線	6229	1	發瘋
313	個鐘	6140	1	小時
314	嗰日	6140	1	當日
315	小巴	6140	1	巴士
316	急急腳	6140	1	急忙
317	授權	6052	1	準許
318	世伯	6051	1	伯父
319	收皮	6051	1	收場
320	重覆	6051	1	重複
321	硬係	5962	1	偏偏
322	食煙	5962	1	吸煙
323	挺好	5911	1	不錯
324	一來	5873	1	一嚟
325	老土	5873	1	過時
326	膠袋	5873	1	塑料袋
327	頂唔順	5873	1	受不了
328	主板	5861	1	主機板
329	多少錢	5852	1	幾錢
330	顯卡	5819	1	顯示卡
331	側邊	5784	1	旁邊
332	神經	5695	1	神經質
333	褲袋	5695	1	口袋
334	乜事	5606	1	何事
335	唔只	5606	1	不僅
336	打交	5606	1	打架
337	芝士	5606	1	乳酪
338	記者	5606	1	訪員
339	錯愕	5606	1	驚愕
340	首頁	5556	1	主頁
341	成晚	5517	1	通宵
342	一會	5428	1	一會兒
343	正話	5428	1	剛才
344	留言	5428	1	留話
345	睇醫生	5428	1	就醫
346	阿公	5428	1	爺爺
347	大鑊	5339	1	麻煩
348	廢事	5339	1	多餘
349	聽朝	5339	1	明早
350	開聲	5339	1	出聲
351	無辜	5250	1	清白
352	識得	5250	1	懂得
353	車轆	5250	1	車輪
354	版主	5219	1	斑竹
355	手裏	5185	1	手上
356	鼠標	5168	1	滑鼠
357	入邊	5161	1	裏面
358	冇計	5161	1	無奈
359	嘔心	5161	1	噁心
360	大笨象	5161	1	大象
361	打波	5161	1	打球
362	波鞋	5161	1	球鞋
363	突破	5161	1	衝破
364	返來	5161	1	回來
365	孫仔	5072	1	孫子
366	睇法	5072	1	看法
367	行開	5072	1	走開
368	親手	5072	2	手,親自
369	醜怪	5072	1	醜陋
370	離遠	5072	1	遠離
371	劇情	4894	1	情節
372	差佬	4894	1	警察
373	晚晚	4894	1	每晚
374	櫃桶	4894	1	抽屜
375	講聲	4894	1	出聲
376	起嚟	4894	1	起來
377	重啓	4843	1	重開
378	分分鐘	4805	1	隨時
379	初初	4805	1	起初
380	加埋	4805	1	加上
381	手套	4805	1	手襪
382	手指尾	4805	1	指尖
383	睇見	4805	1	看見
384	落堂	4805	1	下課
385	一天	4716	1	整天
386	嗰晚	4716	1	當晚
387	放榜	4716	1	公佈
388	樣衰	4716	1	難看
389	細粒	4716	1	細小
390	車仔	4716	1	小車
391	偷食	4627	1	偷嘴
392	專登	4627	1	故意
393	恤衫	4627	1	襯衫
394	樣貌	4627	1	容貌
395	螢幕	4627	1	熒幕
396	貨倉	4627	1	倉庫
397	今時今日	4538	1	現在
398	包住	4538	1	包起
399	吸塵機	4538	1	吸塵器
400	擺明	4538	1	明顯
401	聲線	4538	1	嗓音
402	舖頭	4538	1	店舖
403	一般人	4449	1	普通人
404	叫停	4449	1	制止
405	巴士站	4449	1	車站
406	得人驚	4449	1	可怕
407	打人	4449	1	毆打
408	攬實	4449	1	攬住
409	有嘢	4449	1	有事
410	牛油	4449	1	奶油
411	聽晚	4449	1	明晚
412	話唔定	4449	1	説不定
413	隨心	4449	1	隨意
414	夾住	4360	1	夾緊
415	好多人	4360	1	眾人
416	新抱	4360	1	媳婦
417	早知	4360	1	預料
418	質素	4360	1	品質
419	構建	4342	1	建立
420	八卦	4271	1	傳聞
421	八爪魚	4271	1	章魚
422	好多時	4271	1	經常
423	收銀	4271	1	收款
424	花灑	4271	1	花灑頭
425	話事	4271	1	做主
426	陪住	4271	1	陪伴
427	凳仔	4182	1	矮凳
428	嘈交	4182	1	吵架
429	因住	4182	1	小心
430	埋位	4182	1	就座
431	大隻佬	4182	1	大漢
432	收聲	4182	1	住口
433	有講有笑	4182	1	談笑
434	起勢	4182	1	用力
435	醜樣	4182	1	醜陋
436	門鐘	4182	1	門鈴
437	鬆一口氣	4182	1	放心
438	冷衫	4093	1	毛衣
439	匿埋	4093	1	躲藏
440	好耐	4093	1	好久
441	廁紙	4093	1	手紙
442	捉實	4093	1	抓緊
443	直程	4093	1	簡直
444	相識	4093	1	認識
445	近排	4093	1	最近
446	除衫	4093	1	脱衣
447	點睇	4093	1	看法
448	補丁	4087	1	補釘
449	三文治	4004	1	三明治
450	執起	4004	1	拾起
451	怪獸	4004	1	怪物
452	打圈	4004	1	打轉
453	殺人	4004	1	殺害
454	每當	4004	4	以,在,於,當
455	無端端	4004	1	平白無故
456	生仔	4004	1	生育
457	落街	4004	1	出街
458	過份	4004	1	過分
459	稍等	3971	2	等一會兒,等陣
460	下一個	3915	1	下個
461	剩返	3915	1	剩下
462	各種	3915	1	各樣
463	回歸	3915	1	回來
464	小矮人	3915	1	侏儒
465	未夠	3915	1	不足
466	傻佬	3826	1	傻瓜
467	冇幾耐	3826	1	不久
468	呷醋	3826	1	妒忌
469	壓住	3826	1	按住
470	望下	3826	1	看看
471	流眼淚	3826	1	流淚
472	用嚟	3826	1	用來
473	發洩	3826	1	發泄
474	邊位	3826	1	邊個
475	阿仔	3826	1	兒子
476	鬧交	3826	1	吵架
477	嗌交	3737	1	吵架
478	大大力	3737	1	用力
479	好眼	3737	1	眼利
480	小息	3737	1	休息
481	小隊	3737	1	小組
482	沙律	3737	1	沙拉
483	紋身	3737	1	刺青
484	肉酸	3737	1	丟臉
485	轉校	3737	1	轉學
486	離家出走	3737	1	出走
487	單元	3652	1	單位
488	兩粒	3648	1	兩個
489	坐監	3648	1	坐牢
490	我架	3648	1	我嘅
491	整到	3648	1	搞到
492	睇穿	3648	1	看穿
493	緣份	3648	1	緣分
494	頸鍊	3648	1	項鍊
495	魚蛋	3648	1	魚丸
496	是以	3609	1	因此
497	國內外	3601	1	海內外
