rank	head	essay_frequency	syn_tails
606	款項	1749	5
607	主人公	1748	11
608	建材	1747	17
609	鬍子	1746	17
610	看上	1745	11
611	元件	1743	2
612	看望	1743	12
613	交易日	1742	7
614	因子	1742	1
615	泉州	1742	12
616	火炬	1742	2
617	週報	1739	1
618	銀行卡	1735	7
619	日元	1733	34
620	計量	1733	18
621	高爾夫	1733	17
622	春秋	1732	21
623	源代碼	1730	5
624	保證金	1729	1
625	調解	1729	11
626	好意思	1727	5
627	祝願	1727	3
628	榮獲	1726	1
629	工業化	1725	39
630	氾濫	1725	8
631	本期	1724	2
632	大面積	1722	13
633	病例	1722	6
634	軍訓	1716	5
635	實習生	1715	10
636	抵押	1715	3
637	教育局	1714	12
638	海域	1712	11
639	珠寶	1710	3
640	美工	1709	10
641	辦學	1709	1
642	遏制	1708	10
643	常年	1706	7
644	省份	1705	1
645	紅樓夢	1702	11
646	轄區	1702	1
647	責任感	1701	34
648	交易所	1698	4
649	東海	1694	13
650	相聲	1694	2
651	選秀	1693	1
652	加油站	1691	1
653	不耐煩	1690	10
654	中國人	1690	3
655	代號	1690	8
656	住所	1690	7
657	作文	1690	25
658	依照	1690	21
659	倒影	1690	1
660	值錢	1690	6
661	催淚彈	1690	18
662	傳人	1690	9
663	傻事	1690	1
664	其次	1690	16
665	出版	1690	1
666	包袱	1690	5
667	協會	1690	22
668	各人	1690	1
669	咯咯	1690	1
670	啦啦隊	1690	22
671	因而	1690	13
672	報名	1690	2
673	增長	1690	13
674	外牆	1690	2
675	夜場	1690	2
676	女校	1690	3
677	奶粉	1690	5
678	對準	1690	5
679	工業	1690	49
680	差距	1690	10
681	引來	1690	1
682	強勁	1690	23
683	心臟病	1690	118
684	忐忑	1690	34
685	思維	1690	27
686	意會	1690	9
687	手提電話	1690	1
688	把手	1690	5
689	拇指	1690	6
690	指數	1690	51
691	挽回	1690	2
692	掃視	1690	4
693	推理	1690	21
694	措施	1690	18
695	換言之	1690	4
696	撒嬌	1690	1
697	攝影師	1690	2
698	收養	1690	4
699	整整	1690	46
700	星座	1690	3
701	映照	1690	11
702	昨日	1690	2
703	會場	1690	34
704	有幸	1690	10
705	架構	1690	3
706	楚楚	1690	12
707	機器	1690	3
708	殘留	1690	8
709	水池	1690	4
710	汗水	1690	4
711	照射	1690	11
712	牙籤	1690	17
713	獎品	1690	1
714	環顧	1690	4
715	男士	1690	10
716	界線	1690	18
717	當地	1690	5
718	白虎	1690	1
719	監管	1690	5
720	着數	1690	3
721	穿梭	1690	27
722	簽名	1690	7
723	膠水	1690	7
724	舌尖	1690	1
725	蜘蛛	1690	2
726	血水	1690	3
727	血統	1690	2
728	裂開	1690	17
729	親吻	1690	4
730	觀念	1690	5
731	豬朋狗友	1690	1
732	貫穿	1690	5
733	質量	1690	6
734	走火	1690	4
735	軍校	1690	2
736	轉動	1690	12
737	轉化	1690	10
738	近況	1690	5
739	逗留	1690	14
740	過問	1690	2
741	道謝	1690	10
742	道路	1690	12
743	遠遠	1690	21
744	金黃	1690	1
745	隨後	1690	30
746	雙臂	1690	10
747	靈機	1690	10
748	韓國	1690	156
749	音響	1690	11
750	骨折	1690	4
751	高低	1690	18
752	工作者	1687	2
753	蒐集	1687	13
754	輪迴	1685	4
755	科室	1683	40
756	總計	1683	16
757	公車	1682	13
758	致富	1682	14
759	看樣子	1681	28
760	入庫	1680	5
761	射門	1680	2
762	葡萄酒	1680	32
763	看成	1679	10
764	不可避免	1678	2
765	摺疊	1678	4
766	涵蓋	1678	21
767	直觀	1678	1
768	改制	1677	29
769	本着	1676	11
770	玩兒	1674	16
771	發售	1673	11
772	長假	1672	16
773	多方	1669	6
774	便捷	1668	43
775	搞到	1668	1
776	配送	1667	2
777	再不	1665	7
778	商用	1657	28
779	貨款	1657	23
780	選取	1657	21
781	開辦	1657	9
782	遺址	1656	3
783	市中心	1654	5
