rank	head	essay_frequency	direct_syn_tails
386	嘅話	12102	0
387	得多	12102	0
388	咭	12013	0
389	甲蟲	12013	0
390	上便	11924	0
391	回復	11924	0
392	不嬲	11835	0
393	笑笑口	11835	0
394	好味	11746	0
395	百	11746	1
396	算了	11725	0
397	多個	11657	0
398	孖	11657	0
399	表白	11657	1
400	點啊	11657	0
401	下個	11568	0
402	呯	11479	0
403	唔怪得	11479	0
404	明知	11479	1
405	粗口	11479	0
406	估到	11390	0
407	仲好	11301	0
408	唔知幾	11301	0
409	做嘢	11212	0
410	幾次	11212	0
411	一嘢	11123	0
412	公主	11123	0
413	數據庫	11114	0
414	好朋友	11034	0
415	摺	11034	0
416	看更	11034	0
417	落車	11034	0
418	乳頭	10945	1
419	依種	10945	0
420	冇得	10945	0
421	節目	10945	1
422	細路仔	10945	0
423	西瓜	10945	0
424	冇用	10856	0
425	表哥	10856	0
426	你估	10767	0
427	在線	10760	0
428	曳曳	10678	0
429	水喉	10678	0
430	無謂	10678	0
431	舐	10678	1
432	開學	10678	1
433	係噉	10589	0
434	啤	10589	0
435	夠鐘	10589	0
436	天台	10589	0
437	橙色	10589	1
438	別的	10542	0
439	老細	10500	0
440	面紅	10500	0
441	魚排	10500	0
442	黐	10500	0
443	電視機	10411	1
444	冇嘢	10322	0
445	阻住	10233	0
446	隨住	10233	0
447	一堆	10144	0
448	入嚟	10144	0
449	還有	10144	0
450	嘢食	10055	0
451	這裡	10055	0
452	即可	9999	0
453	嘅樣	9966	0
454	好返	9966	0
455	焗	9966	0
456	鬚	9966	0
457	八婆	9877	0
458	第日	9877	0
459	返轉頭	9877	0
460	厠	9788	0
461	吹水	9788	0
462	怕醜	9788	0
463	換衫	9788	0
464	搓	9788	1
465	洗頭水	9788	0
466	蕹	9788	0
467	點做	9788	0
468	用於	9732	1
469	咁上下	9699	0
470	大部份	9699	0
471	心裡	9699	0
472	我識	9610	0
473	聖誕老人	9610	0
474	遲啲	9610	0
475	小弟	9432	1
476	肥仔	9432	0
477	筆記本	9370	1
478	就嚟	9343	0
479	嘟	9254	1
480	左上	9254	0
481	扁	9254	1
482	羹	9254	0
483	背影	9254	0
484	好嘢	9165	0
485	幾點	9165	0
486	發夢	9165	0
487	電芯	9165	0
488	不知	9076	0
489	呢排	9076	0
490	咔	9076	0
491	嗰種	9076	0
492	搞笑	9076	0
493	証	9076	0
494	唔切	8987	0
495	擰頭	8987	0
496	晞	8987	0
497	最大	8987	0
498	一排	8898	0
499	仔女	8898	0
500	傻妹	8898	0
501	唔捨得	8898	0
502	成身	8898	0
503	按摩	8898	1
504	捽	8898	0
505	朝頭早	8898	0
506	老嘢	8898	0
507	蝴蝶	8898	1
508	衰仔	8898	0
509	一套	8809	0
510	吋	8809	0
511	校車	8809	0
512	風車	8809	1
513	冇所謂	8720	0
514	大隻	8720	0
515	並無	8631	0
516	千祈	8631	0
517	尋晚	8631	0
518	直情	8631	0
519	衣櫃	8631	1
520	不在	8569	0
521	交流	8542	0
522	太過	8542	0
523	紫色	8542	1
524	總有	8542	0
525	偈	8453	0
526	慾	8453	0
527	是但	8453	0
528	確定	8453	1
529	間房	8453	0
530	忘了	8373	0
531	之餘	8364	0
532	沿住	8364	0
533	箭	8364	1
534	頁	8364	0
535	文檔	8277	0
536	好少	8275	0
537	寵物	8275	0
538	戇	8275	0
539	摷	8275	0
540	以嚟	8186	0
541	停低	8186	0
542	叫醒	8186	0
543	噏	8186	0
544	師奶	8186	0
545	體力	8186	1
546	就好	8162	0
547	嘴角	8097	1
548	後尾	8097	0
549	曚	8097	0
550	眼中	8097	1
551	行山	8097	0
552	接住	8008	0
553	柯南	8008	0
554	合照	7919	0
555	舔	7919	1
556	貓仔	7919	0
557	你們	7830	0
558	太大	7830	0
559	得過	7830	0
560	打橫	7830	0
561	玩完	7830	0
562	長大	7830	1
563	阿伯	7830	0
564	做愛	7741	0
565	忍者	7741	0
566	放假	7741	0
567	數字	7741	1
568	植入	7741	0
569	狐狸	7741	1
570	盡快	7741	0
571	糖水	7741	0
572	角色	7741	0
573	越嚟越	7741	0
574	什麼時候	7699	0
575	墳場	7563	0
576	廣告	7563	1
577	間中	7563	0
578	陰道	7563	1
579	電梯	7563	1
580	瀑布	7474	1
581	行街	7474	0
582	講起	7474	0
583	鴨仔	7474	0
584	個月	7408	0
585	麪	7387	0
586	事發	7385	1
587	唸	7385	0
588	大小姐	7385	0
589	礦場	7385	0
590	空姐	7385	1
