rank	head	essay_frequency	batch_index	direct_syn_tails
331	拖鞋	14237	2	0
332	班主任	14237	2	0
333	將我	14148	2	0
334	打機	14148	2	0
335	天使	13970	2	0
336	就快	13970	2	0
337	石頭	13970	2	1
338	第二日	13970	2	0
339	多嘢	13881	2	0
340	擰轉	13881	2	0
341	將會	13703	2	0
342	氹	13703	2	0
343	醉	13615	2	1
344	雀仔	13615	2	0
345	夠膽	13526	2	0
346	請問	13437	2	1
347	講下	13437	2	0
348	後便	13348	2	0
349	正正	13348	2	0
350	兔仔	13259	2	0
351	會話	13259	2	1
352	匙羹	13170	2	0
353	嚟㗎	13170	2	0
354	朝早	13170	2	0
355	食嘢	13170	2	0
356	上網	13081	2	0
357	啵	13081	2	0
358	狼	13081	2	0
359	拳頭	12992	2	1
360	曱	12992	2	0
361	甴	12992	2	0
362	諗法	12992	2	0
363	雞蛋	12992	2	0
364	每日	12814	2	0
365	大把	12725	2	0
366	大脾	12725	2	0
367	差啲	12725	2	0
368	求其	12725	2	0
369	直頭	12725	2	0
370	睇落	12725	2	0
371	域名	12679	2	1
372	車站	12636	2	1
373	呻吟	12547	2	1
374	一場	12458	2	0
375	吔	12458	2	0
376	收埋	12458	2	0
377	故仔	12458	2	0
378	迷宮	12458	2	1
379	嚟到	12369	2	0
380	幾咁	12369	2	0
381	鏈接	12344	2	0
382	盆	12280	2	0
383	相機	12280	2	0
384	結界	12191	2	0
385	頁面	12145	2	0
386	嘅話	12102	2	0
387	得多	12102	2	0
388	咭	12013	2	0
389	甲蟲	12013	2	0
390	上便	11924	2	0
391	回復	11924	2	0
392	不嬲	11835	2	0
393	笑笑口	11835	2	0
394	好味	11746	2	0
395	百	11746	2	1
396	算了	11725	2	0
397	多個	11657	2	0
398	孖	11657	2	0
399	表白	11657	2	1
400	點啊	11657	2	0
401	下個	11568	3	0
402	呯	11479	3	0
403	唔怪得	11479	3	0
404	明知	11479	3	1
405	粗口	11479	3	0
406	估到	11390	3	0
407	仲好	11301	3	0
408	唔知幾	11301	3	0
409	做嘢	11212	3	0
410	幾次	11212	3	0
411	一嘢	11123	3	0
412	公主	11123	3	0
413	數據庫	11114	3	0
414	好朋友	11034	3	0
415	摺	11034	3	0
416	看更	11034	3	0
417	落車	11034	3	0
418	乳頭	10945	3	1
419	依種	10945	3	0
420	冇得	10945	3	0
421	節目	10945	3	1
422	細路仔	10945	3	0
423	西瓜	10945	3	0
424	冇用	10856	3	0
425	表哥	10856	3	0
426	你估	10767	3	0
427	在線	10760	3	0
428	曳曳	10678	3	0
429	水喉	10678	3	0
430	無謂	10678	3	0
431	舐	10678	3	1
432	開學	10678	3	1
433	係噉	10589	3	0
434	啤	10589	3	0
435	夠鐘	10589	3	0
436	天台	10589	3	0
437	橙色	10589	3	1
438	別的	10542	3	0
439	老細	10500	3	0
440	面紅	10500	3	0
441	魚排	10500	3	0
442	黐	10500	3	0
443	電視機	10411	3	1
444	冇嘢	10322	3	0
445	阻住	10233	3	0
446	隨住	10233	3	0
447	一堆	10144	3	0
448	入嚟	10144	3	0
449	還有	10144	3	0
450	嘢食	10055	3	0
451	這裡	10055	3	0
452	即可	9999	3	0
453	嘅樣	9966	3	0
454	好返	9966	3	0
455	焗	9966	3	0
456	鬚	9966	3	0
457	八婆	9877	3	0
458	第日	9877	3	0
459	返轉頭	9877	3	0
460	厠	9788	3	0
461	吹水	9788	3	0
462	怕醜	9788	3	0
463	換衫	9788	3	0
464	搓	9788	3	1
465	洗頭水	9788	3	0
466	蕹	9788	3	0
467	點做	9788	3	0
468	用於	9732	3	1
469	咁上下	9699	3	0
470	大部份	9699	3	0
471	心裡	9699	3	0
472	我識	9610	3	0
473	聖誕老人	9610	3	0
474	遲啲	9610	3	0
475	小弟	9432	3	1
476	肥仔	9432	3	0
477	筆記本	9370	3	1
478	就嚟	9343	3	0
479	嘟	9254	3	1
480	左上	9254	3	0
481	扁	9254	3	1
482	羹	9254	3	0
483	背影	9254	3	0
484	好嘢	9165	3	0
485	幾點	9165	3	0
486	發夢	9165	3	0
487	電芯	9165	3	0
488	不知	9076	3	0
489	呢排	9076	3	0
490	咔	9076	3	0
491	嗰種	9076	3	0
492	搞笑	9076	3	0
493	証	9076	3	0
494	唔切	8987	3	0
495	擰頭	8987	3	0
496	晞	8987	3	0
497	最大	8987	3	0
498	一排	8898	3	0
499	仔女	8898	3	0
500	傻妹	8898	3	0
501	唔捨得	8898	3	0
502	成身	8898	3	0
503	按摩	8898	3	1
504	捽	8898	3	0
505	朝頭早	8898	3	0
506	老嘢	8898	3	0
507	蝴蝶	8898	3	1
508	衰仔	8898	3	0
509	一套	8809	3	0
510	吋	8809	3	0
511	校車	8809	3	0
512	風車	8809	3	1
513	冇所謂	8720	3	0
514	大隻	8720	3	0
515	並無	8631	3	0
516	千祈	8631	3	0
517	尋晚	8631	3	0
518	直情	8631	3	0
519	衣櫃	8631	3	1
520	不在	8569	3	0
521	交流	8542	3	0
522	太過	8542	3	0
523	紫色	8542	3	1
524	總有	8542	3	0
525	偈	8453	3	0
526	慾	8453	3	0
527	是但	8453	3	0
528	確定	8453	3	1
529	間房	8453	3	0
530	忘了	8373	3	0
531	之餘	8364	3	0
532	沿住	8364	3	0
533	箭	8364	3	1
534	頁	8364	3	0
535	文檔	8277	3	0
536	好少	8275	3	0
537	寵物	8275	3	0
538	戇	8275	3	0
539	摷	8275	3	0
540	以嚟	8186	3	0
541	停低	8186	3	0
542	叫醒	8186	3	0
543	噏	8186	3	0
544	師奶	8186	3	0
545	體力	8186	3	1
546	就好	8162	3	0
547	嘴角	8097	3	1
548	後尾	8097	3	0
549	曚	8097	3	0
550	眼中	8097	3	1
551	行山	8097	3	0
552	接住	8008	3	0
553	柯南	8008	3	0
554	合照	7919	3	0
555	舔	7919	3	1
556	貓仔	7919	3	0
557	你們	7830	3	0
558	太大	7830	3	0
559	得過	7830	3	0
560	打橫	7830	3	0
561	玩完	7830	3	0
562	長大	7830	3	1
563	阿伯	7830	3	0
564	做愛	7741	3	0
565	忍者	7741	3	0
566	放假	7741	3	0
567	數字	7741	3	1
568	植入	7741	3	0
569	狐狸	7741	3	1
570	盡快	7741	3	0
571	糖水	7741	3	0
572	角色	7741	3	0
573	越嚟越	7741	3	0
574	什麼時候	7699	3	0
575	墳場	7563	3	0
576	廣告	7563	3	1
577	間中	7563	3	0
578	陰道	7563	3	1
579	電梯	7563	3	1
580	瀑布	7474	3	1
581	行街	7474	3	0
582	講起	7474	3	0
583	鴨仔	7474	3	0
584	個月	7408	3	0
585	麪	7387	3	0
586	事發	7385	3	1
587	唸	7385	3	0
588	大小姐	7385	3	0
589	礦場	7385	3	0
590	空姐	7385	3	1
591	第時	7385	3	0
592	時尚	7376	3	1
593	轉載	7376	3	1
594	心痛	7296	3	1
595	旺角	7296	3	0
596	晏晝	7296	3	0
597	本能	7296	3	0
598	淫賤	7296	3	0
599	講乜	7296	3	0
600	雞仔	7296	3	0
601	一口	7207	4	0
602	中出	7207	4	0
603	殺氣	7207	4	1
604	毫子	7207	4	0
605	汽水	7207	4	0
606	能量	7207	4	1
607	噶	7132	4	0
608	下下	7118	4	0
609	中年	7118	4	1
610	細細個	7118	4	0
611	語言	7118	4	1
612	鍊	7118	4	0
613	侏	7029	4	0
614	尿片	7029	4	0
615	行行	7029	4	0
616	記起	7029	4	0
617	利是	6940	4	0
618	平安夜	6940	4	0
619	胸圍	6940	4	0
620	金毛	6940	4	0
621	鈕	6940	4	0
622	電單車	6940	4	0
623	先得	6851	4	0
624	契媽	6851	4	0
625	廣東話	6851	4	0
626	李	6851	4	0
627	貼紙	6851	4	0
628	重有	6851	4	0
629	鼻哥	6851	4	0
630	怎麼辦	6839	4	1
631	快遞	6768	4	1
632	一次過	6763	4	0
