literal	pos	family	voice	note	source	confidence	prior_voice	status
被動免疫	n		passive	cow-single;prefix-passive	ssot-patch	medium		empty_voice
被告	n		passive	cow-single;prefix-passive	cow	medium		missing
被告人	n		passive	prefix-passive	ssot-patch	medium		empty_voice
被單	n		passive	cow-single;prefix-passive	cow	medium		missing
被套	v		passive	prefix-passive	ssot-patch	medium		empty_voice
被子植物	n		passive	cow-single;prefix-passive	ssot-patch	medium		empty_voice
被子植物門	n		passive	cow-single;prefix-passive	cow	medium		missing
被害人	n		passive	prefix-passive	ssot-patch	medium		empty_voice
被窩	n		passive	prefix-passive	ssot-patch	medium		empty_voice
被除數	n		passive	cow-single;prefix-passive	cow	medium		missing
被面	n		passive	cow-single;prefix-passive	cow	medium		missing
讓人羨慕	a,v		passive	prefix-passive	ssot-patch	medium		empty_voice
讓位	v		passive	prefix-passive	heuristic	medium		missing
讓先	v		passive	prefix-passive	heuristic	medium		missing
讓利	v		passive	prefix-passive	heuristic	medium		missing
讓半臂	v		passive	prefix-passive	heuristic	medium		missing
讓售	v		passive	prefix-passive	heuristic	medium		missing
讓座	v		passive	prefix-passive	heuristic	medium		missing
讓步	n,v		passive	cow-multi;prefix-passive	cow	medium		missing
讓賢	v		passive	prefix-passive	heuristic	medium		missing
讓賢與能	v		passive	prefix-passive	heuristic	medium		missing
讓路	v		passive	cow-single;prefix-passive	ssot-patch	medium		empty_voice
讓道	v		passive	prefix-passive	heuristic	medium		missing
讓開	v		passive	cow-single;prefix-passive	cow	medium		missing
